0;Diary of Anne Frank
2;The A.B.C Murders
3;The Glass Palace
4;The Eye of the Needle
5;Animal Farm
6;Pride and Prejudice
7;The Holy Bible
8;Gone With The Wind
9;The Hunger Games
10;The Tale of Two Cities
11;The Da Vinci Code
12;The Alchemist
13;Harry Potter  And The Prisoner of Azkaban
14;The Pied Piper of Hamlin
15;Alice in Wonderland
16;Great Expectations
17;Mein Kamf
18;Malgudi Days
19;Night Train to Deoli
20;A Hundred Years of Solitude
21;Midnight's Children
22;Cookbook 101
23;Don Quixote 
24;War and Peace
25;Moby Dick
